N,impl,time_sec
256,matrix_cpu,0.012349
256,matrix_naive,0.000820
256,matrix_opt,0.000735
256,matrix_cuBLAS,0.004304
512,matrix_cpu,0.150005
512,matrix_naive,0.001161
512,matrix_opt,0.001125
512,matrix_cuBLAS,0.003612
1024,matrix_cpu,3.391378
1024,matrix_naive,0.004213
1024,matrix_opt,0.003196
1024,matrix_cuBLAS,0.005617
2048,matrix_cpu,42.727917
2048,matrix_naive,0.026660
2048,matrix_opt,0.020054
2048,matrix_cuBLAS,0.013393
4096,matrix_cpu,299.540569
4096,matrix_naive,0.208726
4096,matrix_opt,0.152106
4096,matrix_cuBLAS,0.066493
